"d","r","l","R","u","R","R","l","l","R","d","l","D","u","l","R","R","L","D","u","u","R","d","d","u","l","d","l","u","l","l","l","u","l","u","l","u","R","l","l","R","R","u","u","r","l","U","l","d","u","l","L","u","l","U","R","l","R","R","u","R","u","D","R","R","R","l","l","u","l","u","R","R","L","R","U","d","D","R","d","R","l","d","l","l","r","u","d","l","l","l","R","l","u","l","D","l","l","L","l","R","R","u","r","d","l","d","R","R","u","R","d","D","l","D","l","R","u","R","R","R","R","L","l","l","u","R","d","r","R","u","l","R","R","u","R","d","D","R","R","R","l","l","D","l","r","D","R","r","u","d","R","l","R","r","R","u","l","R","l","l","U","l","R","u","l","l","l","d","R","R","l","u","d","l","l","R","r","d","R","r","l","R","l","R","u","u","d","l","u","R","R","u","R","l","D","R","r","u","D","R","l","u","u","D","l","l","R","R","R","R","D","d","u","l","u","d","l","R","R","l","l","l","l","R","l","R","R","u","R","l","R","R","R","r","u","u","l","R","D","d","R","l","D","R","D","r","u","R","R","l","r","l","d","d","l","d","l","d","L","d","d","l","R","l","R","d","R","l","l","R","u","d","l","R","l","r","u","R","l","R","l","R","R","r","l","l","R","R","u","D","u","u","R","u","D","d","u","d","u","u","D","R","l","R","l","u","u","l","l","l","R","l","l","R","l","l","R","l","R","r","l","R","d","R","R","D","r","R","l","l","l","R","l","d","R","D","l","l","u","D","l","R","R","R","l","R","l","D","R","U","u","D","l","l","l","l","R","D","l","R","R","l","d","d","l","r","l","d","R","R","D","R","r","l","R","u","u","u","l","l","l","R","r","R","l","l","l","R","D","u","R","u","l","D","d","R","l","R","u","u","u","l","R","R","l","u","R","R","R","r","l","l","R","r","l","l","d","l","R","l","R","R","l","l","d","R","l","R","d","R","l","l","l","u","u","R","d","l","u","l","D","r","D","R","D","l","u","u","R","R","u","r","l","R","D","l","R","R","R","l","l","u","u","R","l","l","u","d","U","l","l","L","u","d","u","R","l","u","d","D","D","l","d","d","l","r","R","l","u","u","l","l","u","u","L","R","u"
"r","R","R","u","d","l","R","r","U","l","l","l","u","l","l","l","l","R","R","l","d","u","l","R","u","R","u","l","u","u","r","l","R","d","u","u","D","l","r","R","l","l","l","R","u","l","R","d","l","R","d","l","l","u","d","R","l","l","R","l","u","l","l","R","d","R","R","l","u","R","u","D","l","l","l","d","u","D","d","u","R","R","l","u","D","u","l","R","l","R","l","u","l","R","r","u","R","u","R","R","D","l","l","d","L","l","l","u","R","u","d","R","R","D","D","R","R","l","D","u","D","d","u","R","R","l","l","d","u","d","d","l","R","R","l","d","l","l","R","l","l","R","u","l","l","R","R","R","u","d","l","R","R","R","l","R","u","u","l","u","l","l","R","R","D","L","D","D","R","l","u","u","U","l","l","u","R","r","l","l","d","l","D","D","R","d","R","R","R","u","R","u","R","R","R","u","r","l","l","R","l","r","u","d","d","d","l","u","r","R","R","R","u","R","R","u","u","u","l","R","l","u","u","D","R","R","L","D","u","l","d","l","U","l","R","R","r","l","L","l","R","U","u","u","d","R","l","u","d","R","d","l","r","l","D","D","u","l","l","R","R","l","R","R","r","l","R","R","r","R","l","D","l","R","d","R","R","R","l","R","r","D","u","R","R","l","l","l","d","R","l","D","R","r","R","l","r","l","l","D","R","d","l","l","l","u","d","L","l","R","d","R","R","u","l","u","u","R","r","l","d","D","u","R","D","R","u","d","R","l","R","l","R","l","R","d","R","R","D","d","l","r","l","R","R","d","l","R","u","R","l","l","u","L","l","R","D","u","D","l","l","l","u","u","l","u","l","l","u","r","l","D","d","L","R","R","l","r","R","l","l","l","u","R","u","r","l","R","l","d","R","l","u","l","l","d","D","u","d","R","R","l","u","D","l","l","R","R","u","R","l","R","R","R","D","R","l","R","d","R","u","l","D","R","r","D","l","R","l","d","l","l","R","l","l","l","R","u","l","l","l","D","u","D","r","R","l","u","l","l","l","l","l","r","l","l","l","R","R","R","u","l","l","U","u","R","D","R","l","U","l","R","L","l","R","d","l","d","R","u","R","R","l","d","u","R","R","R","d","l","u","R","l","r","R","l","r","R"
"R","l","R","R","u","D","u","D","D","R","R","d","l","R","l","r","l","R","l","d","R","R","l","l","d","D","D","R","d","R","u","l","l","R","l","l","r","u","d","u","R","u","l","R","r","l","R","u","R","l","D","R","R","D","u","r","R","u","R","l","l","R","D","l","d","u","d","R","u","d","r","l","l","R","R","u","d","U","R","R","R","L","u","l","l","r","U","l","D","D","l","u","R","R","u","l","R","R","u","l","U","l","u","d","u","R","d","d","l","l","R","l","u","u","u","R","D","r","l","u","D","D","l","l","l","D","R","R","l","d","D","d","d","l","u","l","l","R","l","l","l","l","l","R","u","D","R","D","u","l","u","R","R","l","l","R","l","L","R","l","R","l","u","D","r","R","l","L","u","u","R","R","u","u","L","l","l","l","d","d","l","u","R","r","d","R","u","d","r","u","u","l","u","u","D","l","u","l","l","u","d","u","d","r","R","D","l","d","L","R","l","u","l","D","l","l","R","R","d","l","R","l","u","u","R","l","R","l","R","d","u","D","R","R","r","R","u","R","l","l","R","R","u","l","l","R","l","d","R","d","r","L","u","u","R","r","l","u","l","l","d","l","R","l","d","R","R","L","l","R","l","D","l","l","l","r","R","u","u","l","l","r","l","u","R","R","r","u","D","d","l","l","R","R","l","R","u","R","d","D","l","R","R","R","u","R","l","l","l","D","R","u","r","d","l","l","l","R","R","R","l","R","l","R","l","d","d","R","l","U","l","R","R","R","R","d","R","R","R","R","u","u","R","R","d","R","l","l","d","R","l","R","u","R","l","d","l","d","R","l","l","l","l","l","l","R","D","u","R","r","d","d","R","l","l","d","R","R","R","u","R","l","r","l","r","d","d","R","u","u","R","u","l","d","R","l","D","R","l","u","d","r","l","D","l","R","u","R","r","l","u","R","R","R","l","D","U","l","R","R","r","l","L","U","R","u","D","R","r","l","R","u","l","l","r","R","l","l","d","D","R","l","u","R","u","l","l","l","R","d","l","D","R","u","l","R","l","D","R","l","l","l","u","l","u","l","u","R","l","R","l","l","u","l","R","l","l","u","R","u","R","l","l","R","u","D","u","R","R","l","u","l","R","d","R","R","R","u"
"l","u","R","u","l","D","l","R","l","R","d","l","l","l","R","U","u","R","u","D","l","R","r","d","R","u","R","l","l","R","u","d","R","u","R","r","R","R","R","l","d","r","R","r","R","l","r","R","R","R","D","R","R","l","l","u","R","R","R","R","u","d","r","l","R","R","u","l","l","D","l","R","l","d","l","r","D","l","l","R","D","D","l","u","u","R","R","D","R","u","u","u","R","l","d","U","R","l","r","R","l","d","r","l","r","l","l","l","D","d","l","u","R","R","R","R","l","D","R","u","d","l","R","l","R","R","R","l","l","R","l","r","l","R","l","R","D","R","R","R","R","r","l","l","L","d","R","d","d","l","l","u","l","d","R","l","u","d","u","u","l","u","D","d","r","R","R","l","u","l","R","D","d","R","R","R","l","u","D","u","R","l","R","l","r","d","R","R","l","D","l","l","d","r","d","D","l","R","R","l","d","R","l","r","R","r","R","l","R","l","u","R","U","l","u","U","R","D","l","R","d","l","u","R","l","u","R","l","R","u","R","u","l","l","l","R","l","u","u","l","u","r","R","l","l","d","l","u","u","R","R","u","D","u","l","L","l","u","R","d","R","D","l","U","d","u","l","d","l","l","u","R","R","U","L","d","R","D","u","l","R","l","l","u","R","R","d","R","d","D","R","l","u","R","d","R","R","u","l","u","l","R","l","l","l","R","D","u","u","D","R","l","l","L","D","l","u","d","u","L","l","l","l","u","R","l","R","R","l","l","L","D","d","R","l","l","D","R","r","u","d","R","l","l","l","l","D","R","R","d","R","R","l","R","l","R","l","R","l","u","u","R","d","l","u","R","l","l","u","l","u","R","l","u","u","D","r","R","r","l","l","d","l","l","l","R","d","l","R","u","R","d","u","r","d","R","l","u","R","l","u","d","u","l","u","r","D","D","l","d","R","R","l","l","r","R","l","D","D","l","R","R","D","l","d","R","u","R","l","u","R","d","u","R","d","l","R","u","l","u","l","l","u","D","R","u","D","d","R","l","u","R","L","R","l","u","R","l","u","l","l","l","l","l","l","d","l","R","u","d","R","l","l","r","u","l","l","R","l","L","D","R","u","l","d","R","R","r","u","l","l","l","R","u","R","l","R","d"
"l","R","l","u","l","l","D","R","l","R","D","d","R","l","l","d","R","D","u","D","R","d","l","l","u","u","r","R","D","u","u","u","r","l","r","l","l","u","R","R","R","l","R","R","l","l","d","R","D","l","L","R","d","R","R","R","R","R","u","r","R","R","R","R","r","L","d","D","l","l","D","L","U","R","l","R","l","R","d","R","l","D","l","u","R","R","L","l","l","l","R","l","R","l","l","d","l","D","l","l","d","l","u","u","R","R","D","D","D","u","R","R","R","d","u","u","u","u","l","l","r","R","l","R","l","d","u","u","d","d","R","R","l","R","l","l","R","u","R","R","l","u","R","u","R","R","D","u","D","R","l","u","l","R","D","u","l","l","l","l","R","R","U","l","l","u","D","u","l","R","u","l","u","u","u","R","R","R","u","d","u","D","R","D","l","l","u","l","d","l","l","R","d","u","d","R","D","l","D","r","D","r","l","u","l","R","u","R","R","u","l","u","d","R","l","l","D","R","l","l","R","l","u","L","d","R","d","R","l","u","l","l","r","R","l","l","l","u","l","D","R","R","R","l","l","d","R","R","l","d","R","R","l","l","R","R","l","R","l","R","d","l","R","L","l","R","R","l","l","l","D","R","r","u","d","R","u","u","R","U","L","l","l","l","R","R","U","d","u","u","R","R","r","d","R","R","L","u","u","R","l","l","R","u","u","r","d","d","r","R","u","d","R","d","l","R","l","l","D","l","u","l","u","R","u","l","u","d","l","l","l","d","R","R","l","r","d","l","r","l","l","R","l","d","R","R","u","d","d","D","l","r","l","l","l","U","D","d","l","r","u","l","R","l","l","D","u","l","l","d","l","R","d","d","R","r","u","l","l","R","d","l","l","R","l","l","d","R","r","R","R","r","l","R","u","R","l","R","l","l","R","R","R","l","u","R","l","R","l","l","r","R","u","D","d","u","R","l","d","R","R","R","U","D","l","D","d","l","l","u","R","u","R","u","R","l","u","r","R","R","R","d","u","l","R","R","R","l","l","R","l","l","l","d","l","u","u","l","R","R","d","r","u","D","R","u","u","l","l","r","R","R","R","l","R","D","l","l","u","l","d","R","l","R","u","r","l","u","R","l","D","R","d","r","l","l","u","u"
"l","D","R","l","l","D","u","l","d","U","d","R","R","R","l","R","l","l","l","d","u","R","R","u","l","u","u","l","d","R","R","l","U","l","l","R","l","d","u","R","u","l","R","u","l","R","u","d","l","R","R","l","R","l","R","l","D","R","r","u","u","l","l","l","l","u","u","d","R","l","R","d","R","R","l","d","l","l","d","l","u","r","R","L","d","R","u","u","R","R","l","l","l","R","D","l","r","d","R","R","u","l","u","r","D","R","D","l","U","u","u","u","d","R","u","R","l","l","u","R","R","u","L","R","d","l","r","R","R","r","l","R","R","u","D","R","D","R","l","d","l","R","D","D","R","l","D","u","l","L","l","u","d","d","l","l","l","l","l","R","r","u","l","l","l","l","R","l","R","R","l","R","D","l","R","u","l","r","R","r","D","l","u","l","d","d","D","l","l","R","R","R","l","l","r","l","R","R","u","d","l","R","D","R","R","R","l","R","R","R","u","D","l","r","R","l","u","l","l","R","R","R","D","l","D","u","R","r","R","l","l","l","R","r","R","R","l","l","l","d","d","d","l","R","d","R","u","D","l","R","R","L","u","R","D","l","l","R","L","d","D","l","R","l","R","u","l","u","u","R","l","d","l","l","l","l","d","R","l","R","D","r","u","l","l","R","l","l","u","R","l","l","u","R","l","u","R","u","l","D","D","R","l","D","l","l","l","d","R","l","L","D","u","l","d","l","d","u","R","l","L","u","u","r","u","u","u","d","R","R","l","d","R","l","l","d","l","r","d","l","l","U","U","d","D","l","R","r","l","R","R","R","u","R","u","l","R","u","R","l","l","R","D","u","l","l","R","u","r","d","R","l","l","D","u","d","R","D","R","R","r","l","D","d","R","R","R","l","d","u","l","l","R","r","u","R","u","R","l","R","R","R","l","R","R","l","R","d","r","l","D","R","r","d","u","l","l","u","R","R","l","R","L","R","R","l","u","r","R","l","u","u","r","R","u","d","u","l","l","u","R","R","l","d","d","d","u","R","R","l","l","R","l","r","U","R","R","l","u","R","u","D","D","u","R","l","u","l","u","R","u","l","u","R","r","l","D","l","u","d","l","R","D","l","u","d","l","R","d","d","R","R","u","R","R","l","R","u"
"R","R","R","R","R","L","L","u","d","D","R","R","d","R","u","R","R","l","u","R","r","l","l","D","L","R","d","d","d","u","u","R","u","D","D","l","l","D","D","R","R","l","l","R","D","l","L","u","l","d","l","R","R","l","l","R","R","R","l","D","l","d","d","l","R","l","R","d","d","l","u","l","R","R","d","l","u","R","l","l","u","R","l","l","D","R","R","u","u","R","R","l","l","R","L","R","l","u","R","l","l","l","d","u","D","l","R","l","u","d","R","R","R","D","R","d","u","u","l","R","u","R","R","l","U","l","u","R","R","u","D","R","l","R","U","l","R","d","d","R","R","D","u","d","u","l","l","l","R","u","l","d","l","R","l","R","l","L","u","D","R","d","R","L","l","l","L","l","u","l","r","d","l","r","l","u","d","D","d","R","R","l","D","R","R","u","u","l","R","l","R","l","u","l","R","l","u","l","u","l","l","l","l","U","R","l","l","u","u","R","u","l","l","r","u","l","l","r","R","d","R","r","u","R","r","l","u","D","R","u","R","U","u","l","u","l","u","r","R","R","r","l","l","R","d","D","D","l","u","R","l","d","l","u","u","l","d","R","l","R","r","l","l","D","R","l","u","l","R","l","l","l","d","u","D","u","l","l","l","u","l","D","R","R","r","U","R","R","l","l","u","R","R","R","r","l","l","l","l","R","R","R","D","R","l","u","l","u","R","u","R","d","D","l","R","U","l","l","d","R","R","l","l","l","d","u","u","l","R","l","l","R","l","R","D","l","R","d","r","R","R","R","l","l","R","l","u","l","R","l","u","r","d","u","d","u","R","R","l","l","R","R","d","d","l","l","R","R","R","R","l","D","u","l","l","l","R","l","d","u","d","r","D","u","d","R","l","l","r","u","D","d","l","l","d","R","l","l","u","u","R","u","l","u","l","R","r","R","R","u","R","l","R","R","R","R","r","l","D","R","R","l","l","d","l","l","D","l","d","R","l","r","d","l","u","R","R","d","l","u","R","u","u","u","l","u","u","l","l","r","D","l","u","l","R","D","R","l","u","r","u","D","R","u","D","u","R","R","u","r","R","r","R","R","u","d","r","R","R","d","d","d","r","D","l","R","R","l","D","r","l","l","l","R","R","l","u","d"
"R","R","l","D","R","l","d","r","u","R","u","R","l","l","r","R","u","l","l","D","l","l","u","l","r","R","u","D","R","R","D","l","u","R","l","R","R","l","l","l","R","R","R","u","l","d","R","l","D","l","L","R","u","d","l","l","l","R","R","R","l","l","u","l","d","D","d","r","u","l","R","R","R","D","L","R","u","R","l","u","u","d","d","u","d","D","d","u","R","u","d","R","l","l","l","d","l","l","u","d","l","R","l","l","d","l","R","R","u","R","u","R","D","R","R","R","u","u","l","R","R","R","u","l","R","D","d","R","u","l","u","d","L","l","u","D","l","u","d","u","l","D","u","l","l","R","l","r","l","l","l","u","d","D","r","R","R","R","u","R","D","r","l","l","R","l","l","U","R","R","R","R","R","u","d","d","l","R","r","l","R","l","u","R","l","l","d","R","l","u","l","d","D","u","R","l","l","R","l","u","u","u","R","l","d","u","u","R","R","l","R","l","r","l","R","R","R","R","D","l","R","R","l","d","r","r","l","d","D","R","R","u","D","R","u","l","u","l","l","R","l","D","R","R","R","l","l","u","R","R","l","R","D","D","l","u","l","l","l","l","R","D","l","R","D","R","l","R","u","l","R","u","R","u","d","R","R","r","d","l","r","u","u","R","l","R","l","u","l","u","R","d","u","D","l","l","R","l","r","l","l","u","D","R","r","r","l","D","R","u","R","d","u","d","r","r","L","u","d","d","R","u","l","l","l","D","R","R","R","u","l","R","d","l","d","d","R","l","R","l","l","d","l","l","u","l","R","l","R","l","u","R","u","l","u","l","l","l","R","R","r","R","l","l","R","u","l","R","U","R","R","l","l","u","l","R","D","R","R","d","d","u","L","D","u","d","R","d","d","l","R","u","u","l","l","u","u","R","u","U","D","l","R","D","R","u","R","d","R","r","l","u","d","R","R","R","l","D","u","l","R","R","u","u","R","U","d","R","L","u","l","l","l","D","R","l","r","l","R","R","l","d","l","u","U","u","l","l","R","R","l","l","l","D","l","d","R","r","R","d","l","u","R","D","l","l","l","R","L","r","d","l","u","R","d","r","R","D","R","l","d","R","l","R","l","l","r","r","l","u","l","l","L","l","l","R","l","l"
"l","l","l","R","u","l","l","R","R","u","u","l","u","l","u","u","R","l","d","d","l","r","R","l","d","l","u","R","l","l","u","r","l","l","l","u","R","u","r","d","d","l","l","u","l","U","l","D","R","l","l","L","D","R","l","l","R","R","l","R","D","l","R","u","u","R","R","d","l","u","l","l","R","D","d","l","R","R","R","l","l","u","l","R","R","u","R","R","d","r","u","r","u","R","l","l","L","R","d","R","u","L","R","R","l","u","R","d","R","d","R","u","R","u","l","r","l","R","u","l","l","l","D","u","R","u","u","u","l","l","R","D","R","l","u","R","R","u","l","l","R","d","R","l","l","R","R","R","R","d","R","l","u","l","R","l","R","l","R","l","R","u","u","l","u","u","R","l","l","l","l","R","R","l","d","r","r","d","D","R","l","R","R","d","R","l","l","u","l","l","l","R","u","R","u","l","R","U","l","u","R","l","r","l","l","d","l","l","R","R","R","R","L","R","l","l","u","R","l","u","l","R","R","R","u","R","R","u","R","l","l","D","r","l","u","l","R","D","u","R","l","u","l","l","l","d","D","l","r","R","l","R","u","U","D","l","R","l","R","d","R","d","l","R","D","R","R","u","u","u","l","D","R","l","D","l","l","d","R","u","r","L","r","d","l","d","d","R","l","R","d","l","l","R","R","D","u","d","u","l","l","l","R","r","l","l","l","D","u","L","l","R","r","l","u","u","U","u","d","R","l","D","r","R","d","d","R","l","u","u","d","r","u","r","D","r","R","l","u","D","r","D","u","R","u","l","r","D","d","l","l","l","D","l","l","R","u","d","r","l","R","R","R","u","R","R","R","u","R","l","l","u","R","R","R","R","R","l","l","l","d","l","d","d","R","l","R","D","l","u","l","R","r","R","l","R","R","d","u","u","u","R","l","l","R","R","R","l","l","u","l","l","l","d","d","l","D","R","d","d","l","D","R","l","L","R","D","R","d","R","U","D","d","l","R","R","R","u","D","D","d","l","D","l","u","l","D","l","D","d","R","R","d","l","l","l","l","l","d","L","u","d","R","R","D","R","d","R","u","R","u","l","r","R","u","R","u","R","u","l","l","d","u","U","l","u","R","l","R","D","R","l","l","R","R","D","l","D"
"R","l","u","R","r","l","u","R","l","l","l","d","R","D","R","u","d","R","l","R","R","l","R","u","l","u","l","D","R","d","d","R","R","R","u","u","u","l","r","d","l","l","d","u","u","d","l","R","R","R","R","l","u","l","R","l","l","d","R","u","R","R","l","l","r","r","u","d","R","l","r","R","d","d","d","l","D","R","R","l","u","l","l","u","r","R","l","r","r","d","R","R","l","R","l","R","l","l","l","d","R","u","l","l","R","l","u","d","r","l","R","D","l","R","R","u","l","R","l","l","R","R","l","U","l","d","l","u","R","R","L","R","R","u","l","l","R","u","l","D","u","l","l","d","l","l","L","R","u","R","u","r","u","r","R","l","R","D","R","u","l","l","R","r","l","R","l","u","u","R","l","R","l","D","R","R","D","R","d","r","R","u","l","l","u","d","l","u","d","R","l","l","d","R","l","R","l","R","R","u","D","l","D","R","R","u","R","U","l","l","l","R","u","l","u","l","u","l","l","l","l","u","u","U","u","d","r","R","l","r","R","d","u","R","D","l","d","R","d","D","l","R","l","R","D","l","R","u","u","d","l","l","L","R","l","u","u","u","R","u","D","L","R","l","D","R","D","D","l","R","u","l","d","d","r","d","R","R","l","R","r","R","d","u","d","R","l","u","l","d","u","R","l","R","u","d","l","u","l","l","l","u","l","R","l","u","u","l","R","D","R","l","l","l","D","R","R","R","R","r","l","l","l","l","u","d","D","u","l","l","R","l","l","R","u","l","u","l","l","l","u","u","r","R","d","l","l","l","R","D","R","D","u","R","D","R","D","D","u","R","l","L","d","l","D","u","R","R","R","l","U","D","l","d","l","d","u","R","R","R","R","R","d","u","R","l","L","l","R","l","l","d","D","U","D","R","u","u","R","u","u","R","R","r","d","r","d","R","u","R","L","d","l","l","l","l","d","l","R","l","D","R","R","R","l","l","R","R","l","d","D","l","r","R","R","l","l","d","D","R","l","l","u","R","l","l","l","l","R","l","R","u","u","l","l","D","u","l","D","R","u","l","R","R","r","R","u","d","d","r","u","d","R","u","R","u","l","u","l","D","l","R","D","R","L","u","l","U","R","l","R","l","R","l","d","R","l","R"
"R","R","r","l","R","R","l","R","l","u","u","R","d","l","R","u","l","U","d","R","R","l","R","R","R","l","l","u","R","u","u","d","R","l","R","l","l","d","d","l","R","R","l","l","l","l","l","R","u","l","R","R","R","R","R","l","l","R","l","R","R","U","l","u","R","L","l","l","R","l","l","R","l","D","R","l","R","r","l","R","u","u","l","l","R","l","u","l","u","u","l","l","l","u","R","l","u","R","L","R","u","R","D","u","d","l","u","L","u","u","u","l","R","D","l","l","D","R","u","d","l","l","R","R","D","l","u","R","u","l","l","D","u","R","R","u","U","u","R","u","R","R","l","l","R","r","l","D","l","d","D","l","R","l","l","U","R","D","u","d","l","d","u","D","l","R","l","l","l","l","l","l","r","u","l","u","l","R","l","d","l","u","l","u","r","u","R","l","r","R","r","l","l","l","u","R","R","R","R","R","D","l","l","u","d","l","u","l","r","d","l","D","R","d","D","R","r","u","R","u","D","l","u","l","R","d","l","d","r","l","d","R","D","l","l","R","r","l","d","R","u","r","R","d","l","R","l","l","R","D","R","D","d","l","d","l","R","l","D","R","l","u","R","u","r","d","R","d","l","u","l","l","r","R","u","u","l","l","R","l","l","u","R","R","d","R","d","L","l","D","R","R","R","l","l","l","r","l","l","d","l","D","R","l","l","l","R","R","l","l","l","l","R","R","u","u","R","u","U","R","l","l","R","d","R","l","R","u","R","r","D","d","R","R","D","R","D","l","l","L","d","d","d","d","l","R","L","D","R","l","R","l","d","l","D","l","R","d","R","R","u","d","u","u","r","L","R","R","D","l","u","d","R","R","R","R","u","R","D","r","u","R","l","D","l","l","R","R","l","l","R","r","u","R","u","r","l","D","R","r","l","R","R","l","u","r","R","R","R","l","l","D","d","u","u","d","d","R","l","R","l","r","l","l","R","R","R","R","d","l","u","l","R","u","R","D","u","l","R","R","u","R","u","d","u","D","u","R","d","u","R","l","D","d","l","l","l","u","R","u","d","r","R","R","u","d","u","d","R","l","R","l","l","l","d","R","D","l","u","u","U","R","l","l","u","R","D","u","l","u","l","R","l","r","r","u","R","l"
"d","l","R","R","d","R","d","d","R","d","l","u","R","R","l","L","l","l","u","D","d","l","u","R","R","r","d","l","u","u","R","u","l","d","l","l","R","l","l","R","R","R","d","R","u","R","R","u","R","L","r","u","R","l","R","d","r","D","u","R","l","l","l","l","u","R","U","l","u","l","r","R","D","l","R","R","l","u","L","R","r","l","R","R","R","l","r","l","R","R","R","u","l","R","R","D","l","L","R","l","r","D","u","R","R","d","l","l","l","l","U","l","u","r","D","R","d","l","l","r","R","d","l","l","R","R","l","l","R","r","u","D","R","U","R","u","l","R","l","l","d","l","R","R","u","l","u","D","u","R","l","R","u","l","l","l","l","R","l","R","u","l","u","R","l","R","L","l","u","D","l","u","R","l","u","D","l","R","R","l","u","l","u","l","R","l","r","l","u","l","u","R","u","u","l","d","l","l","u","l","l","l","l","l","u","l","l","d","R","R","l","l","R","l","D","l","l","d","r","U","D","r","R","l","l","d","R","U","u","R","r","D","r","u","l","l","R","l","R","u","R","l","R","l","R","l","R","r","u","R","l","R","r","R","u","D","D","l","l","l","d","u","D","l","R","l","R","R","D","l","l","u","l","u","D","R","u","l","d","R","R","d","u","D","d","d","D","R","u","l","l","l","d","d","R","R","u","R","l","R","l","l","d","r","U","R","l","D","D","R","r","u","R","u","u","R","u","d","l","R","d","R","d","R","u","R","u","d","d","u","D","l","d","u","d","R","l","D","u","R","d","l","l","R","r","R","R","R","R","d","D","l","D","l","u","d","l","l","u","u","R","u","l","R","R","l","l","R","R","R","u","l","D","r","u","r","D","l","l","R","l","l","R","u","R","l","u","u","R","R","l","R","D","R","l","D","u","l","d","R","L","d","R","l","L","R","l","u","d","R","R","u","R","d","R","R","l","u","R","l","l","u","l","r","R","u","l","u","R","l","l","u","l","l","u","u","l","R","R","D","d","l","d","l","l","d","R","u","R","R","R","l","l","d","l","R","u","u","d","R","d","l","r","R","D","l","r","R","d","l","l","D","R","l","R","R","l","L","l","l","R","R","R","u","R","R","d","d","D","l","l","R","R","D","l","u","u","u"
"u","R","u","R","l","l","u","R","l","l","U","D","l","L","l","d","R","D","l","D","l","R","R","R","d","D","R","r","l","l","l","R","R","l","U","l","u","R","l","R","u","u","r","l","d","l","D","D","l","R","r","R","l","D","l","u","D","u","R","d","R","R","u","D","l","R","R","l","r","R","D","R","R","u","l","R","R","R","l","l","R","d","l","l","L","R","u","L","l","R","r","u","u","U","u","L","u","l","D","R","l","R","l","R","r","u","d","l","u","l","R","u","l","R","R","u","d","R","R","l","R","D","R","u","D","r","l","d","R","l","D","R","R","r","R","l","u","R","u","R","l","R","l","u","u","D","R","D","r","l","R","d","l","R","l","r","l","u","l","r","R","l","l","l","U","u","R","R","R","l","l","u","u","d","u","u","d","d","R","u","D","r","u","d","R","l","l","l","l","u","r","R","R","u","d","R","D","u","D","d","r","r","l","u","l","R","R","u","l","d","R","l","l","l","r","d","u","u","u","l","l","l","R","l","l","d","D","D","l","R","l","R","l","l","l","l","l","R","l","R","R","l","u","u","d","u","l","R","u","R","l","u","l","d","u","l","d","R","D","l","d","l","l","l","l","R","u","l","R","l","l","u","R","d","l","l","R","R","u","D","l","d","D","R","R","l","R","r","R","l","u","U","R","l","R","l","l","R","d","l","d","l","l","d","d","l","l","D","R","R","d","u","d","l","u","l","u","d","R","R","d","R","l","D","u","R","R","D","d","R","u","l","d","d","u","u","l","u","u","l","l","R","l","r","r","l","D","L","R","R","R","d","d","R","R","D","l","l","l","R","d","R","l","r","R","R","u","D","R","d","d","l","u","l","r","R","R","U","R","l","R","D","u","L","d","l","l","l","R","R","L","r","R","l","R","r","l","l","l","R","l","R","u","l","R","R","l","R","u","r","r","l","R","R","R","u","R","R","u","r","D","R","u","u","R","u","d","R","d","R","u","R","l","l","l","d","u","d","l","l","l","u","D","R","u","u","d","R","R","d","u","l","u","R","l","R","l","u","R","l","l","l","l","u","R","u","l","D","l","D","R","R","R","u","R","l","l","l","R","l","u","d","R","l","d","R","l","l","l","R","l","l","D","L","l","l","l","R"
"R","l","D","u","d","l","R","u","r","u","R","d","l","l","r","l","u","l","l","l","R","R","l","R","u","l","l","u","l","l","l","u","D","R","u","R","R","d","U","d","l","u","D","d","R","D","R","l","l","u","l","l","R","l","r","d","l","R","u","l","R","L","R","r","d","u","R","l","D","l","u","R","r","R","u","R","r","l","R","u","d","u","D","u","R","l","D","u","R","l","l","l","R","R","r","D","R","d","R","u","d","D","l","u","D","l","r","R","R","R","R","u","u","d","R","r","l","l","l","R","R","R","l","R","u","u","l","R","u","U","u","r","R","R","R","d","u","u","L","l","R","R","l","r","d","L","R","R","d","l","l","d","D","D","l","R","L","R","l","D","l","d","u","l","u","U","R","r","u","r","l","D","l","R","R","l","l","D","u","l","R","L","R","U","R","u","D","l","l","R","R","l","r","l","D","D","l","l","u","R","l","R","R","R","D","R","R","l","R","R","R","R","l","l","R","R","R","R","R","l","l","d","R","l","r","R","R","l","R","R","l","u","R","l","R","r","R","R","l","d","l","l","d","l","l","r","l","D","d","l","l","l","l","R","R","l","l","R","D","D","l","l","l","l","R","l","u","d","d","l","u","R","u","l","R","R","D","u","R","R","u","R","D","u","u","R","l","D","R","u","d","d","D","R","R","R","d","R","D","l","u","l","d","u","R","d","l","l","R","l","u","u","R","u","R","L","u","R","d","u","u","u","l","l","d","R","u","l","d","R","l","l","u","l","d","l","R","d","R","R","R","l","d","l","u","l","l","R","R","R","l","l","l","R","L","u","u","R","l","l","l","d","R","R","R","l","u","l","l","d","u","l","u","u","D","d","U","l","R","R","l","l","r","l","l","d","l","l","l","l","l","u","R","l","u","R","r","R","l","D","R","l","l","R","L","l","R","R","u","l","r","R","R","d","r","R","d","l","D","l","u","u","R","d","u","R","l","l","u","u","l","l","d","R","l","l","D","R","d","R","R","u","u","u","u","R","l","l","R","l","R","r","R","d","R","R","u","r","d","u","u","R","R","R","D","l","l","u","l","l","l","l","l","u","d","R","d","l","r","l","U","l","R","l","d","u","r","D","D","d","l","R","l","D","R","d","u","l"
